Name,D,P,H
Ethanol, 15.8, 8.8, 19.4
Acetaldehyde,14.7,12.5,7.9
Acetic acid,14.5,8.0,13.5
Acetic anhydride,16.0,11.7,10.2
Acetone,15.5,10.4,7.0
Acetonitrile,15.3,18.0,6.1
Acetophenone,19.6,8.6,3.7
Acrylonitrile,16.0,12.8,6.8
Allyl alcohol,16.2,10.8,16.8
Amyl acetate,15.8,3.3,6.1
Aniline,19.4,5.1,10.2
Anisole,17.8,4.1,6.7
Benzaldehyde,19.4,7.4,5.3
Benzene,18.4,0.0,2.0
"1,3-Benzenediol",18.0,8.4,21.0
Benzoic acid,18.2,6.9,9.8
Benzonitrile,17.4,9.0,3.3
Benzyl alcohol,18.4,6.3,13.7
Benzyl butyl phthalate,19.0,11.2,3.1
Benzyl chloride,18.8,7.1,2.6
Biphenyl,19.7,1.0,2.0
Bromobenzene,20.5,5.5,4.1
Bromochloromethane,17.3,5.7,3.5
Bromoform,21.4,4.1,6.1
1-Bromonaphtalene,20.3,3.1,4.1
Bromotrifluoromethane,9.6,2.4,0.0
Butane,14.1,0.0,0.0
"1,3-Butanediol",16.6,10.0,21.5
1-Butanol,16.0,5.7,15.8
2-Butanol,15.8,5.7,14.5
Butyl acetate,15.8,3.7,6.3
Sec-butyl acetate,15.0,3.7,7.6
Butyl acrylate,15.6,6.2,4.9
Butylamine,16.2,4.5,8.0
Butyl lactate,15.8,6.5,10.2
Butyraldehyde,15.6,10.1,6.2
Butyric acid,14.9,4.1,10.6
Gamma butyrolactone,19.0,16.6,7.4
Butyronitrile,15.3,12.4,5.1
Carbon disulfide,20.5,0.0,0.6
Carbon tetrachloride,17.8,0.0,0.6
Chlorobenzene,19.0,4.3,2.0
1-Chlorobutane,16.2,5.5,2.0
Chlorodifluoromethane,12.3,6.3,5.7
Chloroform,17.8,3.1,5.7
3-Chloro-1-propanol,17.5,5.7,14.7
m-cresol,18.0,5.1,12.9
Cyclohexane,16.8,0.0,0.2
Cyclohexanol,17.4,4.1,13.5
Cyclohexanone,17.8,8.4,5.1
Cyclohexylamine,17.2,3.1,6.5
Cyclohexylchloride,17.3,5.5,2.0
Cis-decahydronaphthalene,18.8,0.0,0.0
Trans-decahydronaphthalene,18.0,0.0,0.0
Decane,15.7,0.0,0.0
1-Decanol,16.0,4.7,10.0
Diacetone alcohol,15.8,8.2,10.8
Dibenzyl ether,19.6,3.4,5.2
Dibutyl phthalate,17.8,8.6,4.1
Dibutyl sebacate,13.9,4.5,4.1
o-dichlorobenzene,19.2,6.3,3.3
"2,2-Dichlorodiethyl ether",18.8,9.0,5.7
Dichlorodifluoromethane,12.3,2.0,0.0
"1,1-Dichloroethane",16.5,7.8,3.0
"1,1-Dichloroethylene",16.4,52.0,24.0
Di-(2-chloro-isopropyl) ether,19.0,8.2,5.1
Dichloromonofluoromethane,15.8,3.1,5.7
"1,2-Dichlorotetrafluoroethane",12.6,1.8,0.0
Di-iso-butyl carbinol,14.9,3.1,10.8
Diethanolamine,17.2,10.8,21.2
Diethylamine,14.9,2.3,6.1
2-(Diethylamino) ethanol,14.9,5.8,12.0
Para-diethy l benzene,18.0,0.0,0.6
Diethyl carbonate,15.1,6.3,3.5
Diethylene glycol,16.6,12.0,20.7
Diethylene glycol butyl ether acetate,16.0,4.1,8.2
Diethylene glycol hexyl ether,16.0,6.0,10.0
Diethylene glycol monobutyl ether,16.0,7.0,10.6
Diethylene glycol monoethyl ether,16.1,9.2,12.2
Diethylene glycol monomethyl ether,16.2,7.8,12.6
Diethylenetriamine,16.7,13.3,14.3
Diethyl ether,14.5,2.9,5.1
Diethyl ketone,15.8,7.6,4.7
Diethyl phthalate,17.6,9.6,4.5
Diethyl sulfate,15.7,14.7,7.1
Diethyl sulfide,16.8,3.1,2.0
Di(isobutyl) ketone,16.0,3.7,4.1
Di(2-methoxyethyl) ether,15.7,6.1,6.5
"N,N-dimethylacetamide",16.8,11.5,10.2
Dimethylformamide,17.4,13.7,11.3
"1,1-Di methyl hydrazine",15.3,5.9,11.0
Dimethyl phthalate,18.6,10.8,4.9
Dimethyl sulfone,19.0,19.4,12.3
Dimethyl sulfoxide,18.4,16.4,10.2
Dioctyl phthalate,16.6,7.0,3.1
"1,4-Dioxane",19.0,1.8,7.4
Dipropylamine,15.3,1.4,4.1
Dipropylene glycol,16.5,10.6,17.7
Dipropyiene glycol methyl ether,15.5,5.7,11.2
Dodecane,16.0,0.0,0.0
Eicosane,16.5,0.0,0.0
Epichlorohydrin,18.9,7.6,6.6
Ethanethiol,15.7,6.5,7.1
Ethanol,15.8,8.8,19.4
Ethanolamine,17.0,15.5,21.2
Ethyl acetate,15.8,5.3,7.2
Ethyl acrylate,15.5,7.1,5.5
Ethyl amyl ketone,16.2,4.5,4.1
Ethylbenzene,17.8,0.6,1.4
Ethyl bromide,16.5,8.4,2.3
